look_back_window;layers;units;dropout_rate;Precision;Accuracy;F1;PredictiveScore;Replications;HoldingDays;BuyThreshold
10;2;128;0.3;0.1667;0.8833;0.2222;0.2842;1;5;1.005
5;6;128;0.1;0.1429;0.8667;0.2;0.2488;1;5;1.005
30;2;256;0.3;0.1429;0.8667;0.2;0.2488;1;5;1.005
5;4;256;0.3;0.1333;0.7667;0.2222;0.2347;1;5;1.005
5;6;256;0.1;0.125;0.85;0.1818;0.2212;1;5;1.005
5;6;128;0.3;0.125;0.85;0.1818;0.2212;1;5;1.005
90;6;256;0.1;0.1176;0.7333;0.2;0.21;1;5;1.005
5;8;128;0.1;0.1053;0.7;0.1818;0.19;1;5;1.005
10;2;256;0.3;0.0909;0.8;0.1429;0.1661;1;5;1.005
30;4;128;0.1;0.0714;0.55;0.129;0.133;1;5;1.005
10;2;128;0.1;0.0667;0.5167;0.1212;0.1247;1;5;1.005
90;2;256;0.1;0.0625;0.7167;0.1053;0.1173;1;5;1.005
5;2;128;0.1;0.0625;0.7167;0.1053;0.1173;1;5;1.005
10;2;256;0.1;0.0526;0.3833;0.0976;0.0998;1;5;1.005
5;4;256;0.1;0.05;0.65;0.087;0.095;1;5;1.005
90;2;256;0.3;0.05;0.65;0.087;0.095;1;5;1.005
90;8;256;0.3;0.05;0.05;0.0952;0.0;1;5;1.005
5;6;256;0.3;0.0455;0.6167;0.08;0.0867;1;5;1.005
5;2;256;0.3;0.04;0.5667;0.0714;0.0767;1;5;1.005
5;2;128;0.3;0.0312;0.45;0.0571;0.0605;1;5;1.005
30;2;128;0.3;0.0;0.85;0.0;0.0;1;5;1.005
10;8;256;0.1;0.0;0.95;0.0;0.0;1;5;1.005
5;4;128;0.3;0.0;0.7667;0.0;0.0;1;5;1.005
30;6;128;0.1;0.0;0.95;0.0;0.0;1;5;1.005
30;6;128;0.3;0.0;0.6667;0.0;0.0;1;5;1.005
90;6;256;0.3;0.0;0.95;0.0;0.0;1;5;1.005
10;6;128;0.3;0.0;0.95;0.0;0.0;1;5;1.005
10;8;128;0.1;0.0;0.95;0.0;0.0;1;5;1.005
10;4;256;0.3;0.0;0.7333;0.0;0.0;1;5;1.005
5;8;128;0.3;0.0;0.95;0.0;0.0;1;5;1.005
30;8;256;0.3;0.0;0.95;0.0;0.0;1;5;1.005
30;4;256;0.3;0.0;0.95;0.0;0.0;1;5;1.005
90;2;128;0.3;0.0;0.8833;0.0;0.0;1;5;1.005
10;4;128;0.1;0.0;0.8667;0.0;0.0;1;5;1.005
10;8;128;0.3;0.0;0.95;0.0;0.0;1;5;1.005
90;8;128;0.3;0.0;0.95;0.0;0.0;1;5;1.005
10;6;256;0.1;0.0;0.8833;0.0;0.0;1;5;1.005
90;4;256;0.3;0.0;0.7167;0.0;0.0;1;5;1.005
90;8;256;0.1;0.0;0.95;0.0;0.0;1;5;1.005
30;8;256;0.1;0.0;0.95;0.0;0.0;1;5;1.005
10;6;128;0.1;0.0;0.95;0.0;0.0;1;5;1.005
30;8;128;0.1;0.0;0.95;0.0;0.0;1;5;1.005
30;4;128;0.3;0.0;0.75;0.0;0.0;1;5;1.005
10;4;256;0.1;0.0;0.8667;0.0;0.0;1;5;1.005
30;2;128;0.1;0.0;0.95;0.0;0.0;1;5;1.005
90;4;128;0.1;0.0;0.95;0.0;0.0;1;5;1.005
30;8;128;0.3;0.0;0.95;0.0;0.0;1;5;1.005
30;4;256;0.1;0.0;0.95;0.0;0.0;1;5;1.005
90;8;128;0.1;0.0;0.95;0.0;0.0;1;5;1.005
10;4;128;0.3;0.0;0.95;0.0;0.0;1;5;1.005
10;6;256;0.3;0.0;0.95;0.0;0.0;1;5;1.005
30;2;256;0.1;0.0;0.8667;0.0;0.0;1;5;1.005
90;2;128;0.1;0.0;0.95;0.0;0.0;1;5;1.005
5;2;256;0.1;0.0;0.9;0.0;0.0;1;5;1.005
5;8;256;0.1;0.0;0.8833;0.0;0.0;1;5;1.005
5;4;128;0.1;0.0;0.8833;0.0;0.0;1;5;1.005
5;8;256;0.3;0.0;0.8333;0.0;0.0;1;5;1.005
10;8;256;0.3;0.0;0.95;0.0;0.0;1;5;1.005
90;6;128;0.1;0.0;0.95;0.0;0.0;1;5;1.005
90;4;128;0.3;0.0;0.7;0.0;0.0;1;5;1.005
90;4;256;0.1;0.0;0.8667;0.0;0.0;1;5;1.005
30;6;256;0.1;0.0;0.7667;0.0;0.0;1;5;1.005
30;6;256;0.3;0.0;0.95;0.0;0.0;1;5;1.005
90;6;128;0.3;0.0;0.75;0.0;0.0;1;5;1.005
